sha256_hash,file_count,split_count,class_count,cross_split,label_conflict
cc336bb30a64c66a0897e048331ca9818b553b8d0c313ed4980971c5b8ea1b46,2,1,1,False,False
ce8380b51fcf1dbb1347069191fbeabf20712e1b0673efc65c08c87c70b1a1af,2,1,1,False,False
d22f76ae6780bc947ddeb36446b3bb97bfcc5ada33b8db69753949c9d214111a,2,1,1,False,False
d56567916b5975d9f260f61a4cad99040696bd105293112af3d703c4bec42feb,2,1,1,False,False
d62ef020a79e42be55f4a6977457753c11364c69c1a842aab749f45b910a348f,2,1,1,False,False
da9ef6cef60bdcf63e1cb2c07ebe5bfb5a1c08c74dadf280915d55d7c3e36d9a,2,1,1,False,False
db13da94073aaa03960e97acb4ab41019e4be57c88c8b708e66791696f4bc4b9,2,1,1,False,False
dc811fda9f7bc3506f21d4094da84c5e3a81d3878b28967b830536fda342a33e,3,1,1,False,False
dc8ef910fb6a27abfe1862e83beeacb91864e160cd6919e5f0b2ebc039b865c4,3,1,1,False,False
de08225737a2a8a8ddda2e0684baa925356b9c0fe77585f2992a0980398c2d07,2,1,1,False,False
de35915b30be9cb513305bb03b1fcf263dadf7259aa666e02f09215118f7f65a,4,1,1,False,False
dea65808e631f46024aaa034984629ab8a455f2b951ca7022f12fa9e62b7c8ff,2,1,1,False,False
e22f980ae6f8f79a1fd96c0e2711d06767493d2d7c19d885fd89f6207702c3f3,2,1,1,False,False
e2c7bc9c2d735e5b584b329f5cda1aec1f2415b2972c4aa8efc8d0a61e61b280,2,1,1,False,False
e3ea07d69e4b3242a2bc56046a2c9547c6e15d8169d3bdad7d4f8f9baf2a2442,3,1,1,False,False
e50960c499e99a17df350e4f261d140bb10d74d9a3d81d91c4878542e2b32538,2,1,1,False,False
e99074ab025d65cc916b786675d37496c0f045c8267c222bfbc29c04dab42ffd,2,1,1,False,False
e9a63334af63a2ec8cab2149ec091466c60df5fe115cf36cc30c9304dacbb376,3,1,1,False,False
ee17905768c01705c6abcc330d664f063c5ceada4e3ea6722be796cc9bc9986f,2,1,1,False,False
ef0e11d139ea444dbd4e266a8ccd3f79d22d82c5b16189481ec4047b605fb9c8,2,1,1,False,False
ef5addab9afd41d9a24d73711092b35f1610683975b03f80bff9d48d144970ef,2,1,1,False,False
f2152513bd2804ec1ef7e8b188ab72a991417708a0b98e3dac3131578d1aa794,2,1,1,False,False
f3ce33b26a3784299fc2bc72215752b531bb1ff11e9b65dc39376039f8809f64,2,1,1,False,False
f55311fb8ccf1b86450233262bd00b176bd1c404e5849b59c0a3cd5e4440626b,2,1,1,False,False
f764c8846c7fe11dce4e99b2bfa153347eb2976ae53857392f31f82b127b2270,2,1,1,False,False
f932387c00c74ebaede60e0b5e0d79dbff6b944e066d510f4c95834f05050e3e,2,1,1,False,False
f9ab73351fe5dd8b0cac9d28282c9faff3f83bb3aad1a4fb2769c6e94cb25eb4,2,1,1,False,False
fa0c1c4fb6eabf57c61ae1afd2f24efd5aa69d47a6df7d468579cdee91a86c8a,2,1,1,False,False
fb32f456cca40bf1867369a4abcae84ff15d634bc56637a568d09449114f95ae,2,1,1,False,False
fd701e8cdd7a47b2b7198334e09d7947edf3d2efdd68b73b8d47282256f9f475,3,1,1,False,False
fe20d08e5475898e9b66661cddbe32d6d006438e57c36cd87be27b8dd9c0676d,2,1,1,False,False
